Date,Close
4/12/16,29.77
4/13/16,29.8
4/14/16,30.96
4/15/16,30.97
4/18/16,31.53
4/19/16,32.05
4/20/16,31.5
4/21/16,31.53
4/22/16,31.81
4/25/16,31.13
4/26/16,31.47
4/27/16,31.83
4/28/16,31.75
4/29/16,31.85
5/2/16,31.41
5/3/16,30.74
5/4/16,29.61
5/5/16,28.52
5/6/16,27.72
5/9/16,26.46
5/10/16,26.63
5/11/16,26.27
5/12/16,26.95
5/13/16,26.29
5/16/16,26.16
5/17/16,26.8
5/18/16,26.34
5/19/16,25.97
5/20/16,26.1
5/23/16,26.82
5/24/16,27.06
5/25/16,28.2
5/26/16,27.76
5/27/16,28.57
5/31/16,29.29
6/1/16,31.07
6/2/16,29.84
6/3/16,29.58
6/6/16,30
6/7/16,29.86
6/8/16,30.09
6/9/16,29.41
6/10/16,28.28
6/13/16,27.99
6/14/16,29.05
6/15/16,28.66
6/16/16,28.37
6/17/16,28.94
6/20/16,29.77
6/21/16,29.87
6/22/16,29.81
6/23/16,31.2
6/24/16,29.07
6/27/16,27.16
6/28/16,28.54
6/29/16,30.32
6/30/16,30.76
7/1/16,30.83
7/5/16,30.61
7/6/16,30.65
7/7/16,30.37
7/8/16,31
7/11/16,31.85
7/12/16,32.49
7/13/16,31.99
7/14/16,32.1
7/15/16,32.32
7/18/16,32.2
7/19/16,33.26
7/20/16,33.09
7/21/16,32.73
7/22/16,32.87
7/25/16,32.6
7/26/16,32.55
7/27/16,33.21
7/28/16,34.27
7/29/16,34.27
8/1/16,34.05
8/2/16,33.53
8/3/16,36.79
8/4/16,36.85
8/5/16,37.01
8/8/16,38.31
8/9/16,38.79
8/10/16,39.29
8/11/16,39.91
8/12/16,39.38
8/15/16,39.08
8/16/16,38.37
8/17/16,38.74
8/18/16,40.25
8/19/16,42.41
8/22/16,42.47
8/23/16,41.76
8/24/16,40.94
8/25/16,40.63
8/26/16,41.52
8/29/16,41.39
8/30/16,41.29
8/31/16,41.36
9/1/16,40.67
9/2/16,42.42
9/6/16,43.19
9/7/16,42.78
9/8/16,43.21
9/9/16,41.04
9/12/16,41.63
9/13/16,40.57
9/14/16,40.9
9/15/16,41.77
9/16/16,41.49
9/19/16,42.95
9/20/16,42.46
9/21/16,44.5
9/22/16,43.86
9/23/16,43.35
9/26/16,43.2
9/27/16,43.87
9/28/16,42.75
9/29/16,42.96
9/30/16,42.92
10/3/16,43.03
10/4/16,43.41
10/5/16,43.77
10/6/16,43.68
10/7/16,44.36
10/10/16,43.73
10/11/16,42.3
10/12/16,42.39
10/13/16,42.09
10/14/16,42.82
10/17/16,42.02
10/18/16,42.48
10/19/16,43.39
10/20/16,43.15
10/21/16,43.48
10/24/16,43.86
10/25/16,43.49
10/26/16,43.03
10/27/16,41.35
10/28/16,40.84
10/31/16,41.45
11/1/16,40.78
11/2/16,43.57
11/3/16,40.41
11/4/16,39.15
11/7/16,40.15
11/8/16,41.35
11/9/16,40.58
11/10/16,40.09
11/11/16,39.66
11/14/16,37.9
11/15/16,39.92
11/16/16,40.36
11/17/16,42.02
11/18/16,44.05
11/21/16,44.89
11/22/16,42.96
11/23/16,43.05
11/25/16,43.27
11/28/16,42.49
11/29/16,42.59
11/30/16,41.67
12/1/16,39.67
12/2/16,39.05
12/5/16,40.57
12/6/16,40.9
12/7/16,40.72
12/8/16,42.63
12/9/16,42.22
12/12/16,42.04
12/13/16,42.27
12/14/16,41.75
12/15/16,42.41
12/16/16,42.05
12/19/16,41.87
12/20/16,41.42
12/21/16,40.8
12/22/16,40.17
12/23/16,41.34
12/27/16,43.64
12/28/16,43.22
12/29/16,43.1
12/30/16,42.87
1/3/17,42.82
1/4/17,44.14
1/5/17,47.68
1/6/17,46.9
1/9/17,47.18
1/10/17,47.87
1/11/17,48.33
1/12/17,48.58
1/13/17,48.1
1/17/17,49.52
1/18/17,49.98
1/19/17,50.66
1/20/17,50.09
1/23/17,49.44
1/24/17,49.42
1/25/17,51.36
1/26/17,51.01
1/27/17,51.54
1/30/17,50.7
1/31/17,50.82
2/1/17,51.19
2/2/17,52.32
2/3/17,52.12
2/6/17,52.68
2/7/17,53.13
2/8/17,53.37
2/9/17,54.61
2/10/17,55.22
2/13/17,56.05
2/14/17,56.05
2/15/17,60.61
2/16/17,60.97
2/17/17,61.52
2/21/17,63.08
2/22/17,63.59
2/23/17,62.73
2/24/17,61.75
2/27/17,59.93
2/28/17,59.21
3/1/17,59.65
3/2/17,59.67
3/3/17,60.29
3/6/17,59.32
3/7/17,60.13
3/8/17,60.91
3/9/17,62.39
3/10/17,64.15
3/13/17,64.93
3/14/17,63.83
3/15/17,64.84
3/16/17,64.99
3/17/17,66.99
3/20/17,68.86
3/21/17,67.19
3/22/17,66.71
3/23/17,67.58
3/24/17,68.98
3/27/17,70.4
3/28/17,72.37
3/29/17,72.72
3/30/17,69.05
3/31/17,68.09
4/3/17,69.23
4/4/17,68.53
